Operator,Description,Parameters
RN,Railroad Name,Pennsylvania Railroad	Allegheny Region	Western Pennsylvania
TD,Train Description,
VT,Valid,1938-12-16T03:11:48.399+00:00
PRNTR,Printer Name,
TN,Track Name,71
PE,Pick Up Engines
operator,road,number,type,model,length,weight,consist,color,owner,location,track,destination,destination track,comment
SE,Set Out Engines
operator,road,number,type,model,length,weight,consist,color,owner,location,track,destination,destination track,comment
PC,Pick Up Cars
operator,road,number,type,length,weight,load,load type,hazardous,color,kernel,kernel size,owner,location,track,destination,destination track,final destination,final destination track,comment,set out message,pick up message,return when empty
SC,Set Out Cars
operator,road,number,type,length,weight,load,load type,hazardous,color,kernel,kernel size,owner,location,track,destination,destination track,final destination,final destination track,comment,set out message,pick up message,return when empty
TN,Track Name,72
PE,Pick Up Engines
operator,road,number,type,model,length,weight,consist,color,owner,location,track,destination,destination track,comment
SE,Set Out Engines
operator,road,number,type,model,length,weight,consist,color,owner,location,track,destination,destination track,comment
PC,Pick Up Cars
operator,road,number,type,length,weight,load,load type,hazardous,color,kernel,kernel size,owner,location,track,destination,destination track,final destination,final destination track,comment,set out message,pick up message,return when empty
PC,UTLX,9520,TM,40,0,Empty,empty,0,Generic,,0,,City,72,,,Easton,,,,,,
PC,NYNH&H,3285,GB,40,0,Empty,empty,0,Generic,,0,,City,72,,,Easton,,,,,,
PC,PRR,3375,TM,40,0,Empty,empty,0,Generic,,0,,City,72,,,Easton,,,,,,
PC,PL,4071,FM,40,0,Empty,empty,0,Generic,,0,,City,72,,,Easton,,,,,,
PC,PRR,1219,GB,40,0,Empty,empty,0,Generic,,0,,City,72,,,Easton,,,,,,
PC,PL,6912,GB,40,0,Empty,empty,0,Generic,,0,,City,72,,,Easton,,,,,,
PC,TCX,0510,TM,40,0,load,load,0,Generic,,0,,City,72,,,Easton,,,,,,
PC,PRR,6262,GB,40,0,Cinders,load,0,Generic,,0,,City,72,,,Easton,,,,,,
PC,PRR,7333,GB,40,0,Tarp3,load,0,Generic,,0,,City,72,,,Easton,,,,,,
PC,TCX,1116,TM,40,0,load,load,0,Generic,,0,,City,72,,,Easton,,,,,,
PC,B&A,5607,GB,40,0,Milled timber,load,0,Generic,,0,,City,72,,,Easton,,,,,,
PC,UTLX,1758,TM,40,0,load,load,0,Generic,,0,,City,72,,,Easton,,,,,,
SC,Set Out Cars
operator,road,number,type,length,weight,load,load type,hazardous,color,kernel,kernel size,owner,location,track,destination,destination track,final destination,final destination track,comment,set out message,pick up message,return when empty
TN,Track Name,73
PE,Pick Up Engines
operator,road,number,type,model,length,weight,consist,color,owner,location,track,destination,destination track,comment
SE,Set Out Engines
operator,road,number,type,model,length,weight,consist,color,owner,location,track,destination,destination track,comment
PC,Pick Up Cars
operator,road,number,type,length,weight,load,load type,hazardous,color,kernel,kernel size,owner,location,track,destination,destination track,final destination,final destination track,comment,set out message,pick up message,return when empty
PC,P&R,7375,HK,40,0,Empty,empty,0,Generic,,0,,City,73,,,,,,,,,
PC,P&R,5960,HK,40,0,Empty,empty,0,Generic,,0,,City,73,,,,,,,,,
PC,P&R,6575,HK,40,0,Empty,empty,0,Generic,,0,,City,73,,,,,,,,,
PC,B&O,5501,HK,40,0,Empty,empty,0,Generic,,0,,City,73,,,,,,,,,
PC,PGCC,2474,HK,40,0,Empty,empty,0,Generic,,0,,City,73,,,Northton,,,,,,
PC,B&O,4601,HK,40,0,Empty,empty,0,Generic,,0,,City,73,,,Northton,,,,,,
PC,PRR,0672,TM,40,0,Empty,empty,0,Generic,,0,,City,73,,,Northton,,,,,,
PC,WJ&S,7368,GB,40,0,Empty,empty,0,Generic,,0,,City,73,,,Northton,,,,,,
PC,B&O,3864,HK,40,0,Empty,empty,0,Generic,,0,,City,73,,,Northton,,,,,,
PC,TCX,2539,TM,40,0,Empty,empty,0,Generic,,0,,City,73,,,Northton,,,,,,
PC,B&O,7676,HK,40,0,Empty,empty,0,Generic,,0,,City,73,,,Northton,,,,,,
