Operator,Description,Parameters
RN,Railroad Name,Doodle 18g
TN,Train Name,33T
TM,Train Manifest Description,Valley Turn
PRNTR,Printer Name,
VT,Valid,12/12/1938 09:29
TC,Train Comment,"Depart City, Deliver Midway, Pick Up Midway, Terminate City",black
LN,Location Name,Train Service
DT,Departure Time,05:10
PL,Pick up loco,PRR,720,H9s,40,ESLF,,Train Service,Roundhouse,Train Service,Roundhouse,,,,,IDms4t4dupm2y7,
PC,Pick up car,PRR,235,NM-Valley,40,E,Generic,Train Service,Cabin Track,Train Service,Cabin Track,,,,,,C,,,ID8etszdlyjckc,,,,0,,,Empty
TD,Train Departs,Train Service,North
TL,Train Length Empties Cars,88,1,1
TW,Train Weight,36
LN,Location Name,City
AT,Arrival Time,05:14
EDT,Estimated Departure Time,06:17
PC,Pick up car,B&A,1434,XM,40,LCL,Generic,City,OB-Valley,Midway,Interchange,,,,,,,,,IDg7y5wlzn92ig,,,,0,Junction,Depot,load
PC,Pick up car,WJ&S,3565,XM,40,Empty,Generic,City,OB-Valley,Midway,Interchange,,,,,,,,,IDkl56e079tvnx,,,,0,Junction,Steel Products,empty
PC,Pick up car,SP,2604,XM,40,LCL,Generic,City,OB-Valley,Midway,Interchange,,,,,,,,,IDcnl1flxniaxc,,,,0,Junction,Depot,load
PC,Pick up car,PL,5550,GB,40,Empty,Generic,City,OB-Valley,Midway,Interchange,,,,,,,,,IDinfczzltrxey,,,,0,Junction,Steel Products,empty
PC,Pick up car,DL&W,0237,XM,40,Merchandise,Generic,City,OB-Valley,Midway,Interchange,,,,,,,,,ID1rq1sunkh7jn,,,,0,Valley,General Delivery,load
PC,Pick up car,PRR,1035,XM,40,Merchandise,Generic,City,OB-Valley,Midway,Interchange,,,,,,,,,ID1zqhyvo8dxxb,,,,0,Valley,General Delivery,load
PC,Pick up car,FGEX,9586,RB,40,Iced,Generic,City,OB-Valley,Midway,Interchange,,R6,,,,,,,IDv1wq1cfvnk4a,,,,0,Valley,Produce,load
PC,Pick up car,FGEX,0775,RB,40,Iced,Generic,City,OB-Valley,Midway,Interchange,,R6,,,,,,,ID5hsqgn36j9my,,,,0,Valley,Produce,load
PC,Pick up car,FGEX,2300,RS,40,Iced,Generic,City,OB-Valley,Midway,Interchange,,R6,,,,,,,ID4ln8kzuc6877,,,,0,Valley,Produce,load
