Operator,Description,Parameters
RN,Railroad Name,Doodle 18g
TN,Train Name,703
TM,Train Manifest Description,Valley - Passenger Local
PRNTR,Printer Name,
VT,Valid,12/14/1938 08:44
LN,Location Name,Train Service
DT,Departure Time,05:30
PL,Pick up loco,PRR,240,E6S,40,ESLP,,Train Service,Roundhouse,Valley,Roundhouse,,,,,IDxlskysy6yzc5,
NW,NoWork
LN,Location Name,Valley
AT,Arrival Time,05:34
EDT,Estimated Departure Time,05:34
SL,Set out loco,PRR,240,E6S,40,ESLP,,Train Service,Roundhouse,Valley,Roundhouse,,,,,IDxlskysy6yzc5,
TT,Train Terminates,Valley
