Operator,Description,Parameters
RN,Railroad Name,Doodle 18g
TN,Train Name,703Y
TM,Train Manifest Description,Build 703
PRNTR,Printer Name,
VT,Valid,12/14/1938 08:44
LN,Location Name,Downtown
DT,Departure Time,16:40
NW,NoWork
LN,Location Name,Train Service
AT,Arrival Time,16:44
EDT,Estimated Departure Time,16:44
HOLD,Hold Car,PRR,0838,P54,40,Occupied,Generic,Train Service,Coach Yard,,,,,,,,,,,IDlo7o2v1zpmxt,,,,0,,,load
HOLD,Hold Car,PRR,4414,P70,40,Occupied,Generic,Train Service,Coach Yard,,,,,,,,,,,IDw9nh8cyo9vly,,,,0,,,load
HOLD,Hold Car,PRR,5466,P54,40,Occupied,Generic,Train Service,Coach Yard,,,,,,,,,,,IDbd6cur4ia41t,,,,0,,,load
HOLD,Hold Car,PRR,7303,Pk,40,Occupied,Generic,Train Service,Coach Yard,,,,,,,,,,,IDwdvi4ilh98bo,,,,0,,,load
HOLD,Hold Car,PRR,8869,P70,40,Occupied,Generic,Train Service,Coach Yard,,,,,,,,,,,IDqw6ke4rl5qdo,,,,0,,,load
HOLD,Hold Car,PRR,9505,P70,40,Occupied,Generic,Train Service,Coach Yard,,,,,,,,,,,IDbhyqozp0utoa,,,,0,,,load
TT,Train Terminates,Train Service
