Operator,Description,Parameters
RN,Railroad Name,Doodle 18g
TN,Train Name,98M
TM,Train Manifest Description,Easton Hauler
PRNTR,Printer Name,
VT,Valid,12/12/1938 11:28
TC,Train Comment,"Departs City, Terminates Easton",black
LN,Location Name,Train Service
DT,Departure Time,04:15
PL,Pick up loco,PRR,025,I1s,40,ESHF,,Train Service,Roundhouse,Easton,E1,,,,,IDrp7xy6isgoro,
PC,Pick up car,PRR,386,NE,40,E,Generic,Train Service,Cabin Track,Easton,E1,,,,,,C,,,IDic4678ybd1aj,,,,0,,,Empty
TD,Train Departs,Train Service,East
TL,Train Length Empties Cars,88,1,1
TW,Train Weight,36
LN,Location Name,City
AT,Arrival Time,04:19
EDT,Estimated Departure Time,05:37
PC,Pick up car,PRR,4193,FM,40,Empty,Generic,City,OB-Easton,Easton,E1,,,,,,,,,IDd8tf1s2l21v4,,,,0,,,empty
PC,Pick up car,PL,8533,XM,40,Empty,Generic,City,OB-Easton,Easton,E1,,,,,,,,,IDobepn5g9sawb,,,,0,,,empty
PC,Pick up car,UTLX,4974,TM,40,Empty,Generic,City,OB-Easton,Easton,E1,,,,,,,,,IDl709e2xv1ecs,,,,0,,,empty
PC,Pick up car,AT&SF,8248,XM,40,Empty,Generic,City,OB-Easton,Easton,E1,,,,,,,,,IDillskmhsf6h5,,,,0,,,empty
PC,Pick up car,WJ&S,4217,GB,40,Empty,Generic,City,OB-Easton,Easton,E1,,,,,,,,,IDwgyak9987pss,,,,0,,,empty
PC,Pick up car,WJ&S,3512,GB,40,Empty,Generic,City,OB-Easton,Easton,E1,,,,,,,,,IDv08whycsptq8,,,,0,,,empty
PC,Pick up car,TCX,5324,TM,40,Empty,Generic,City,OB-Easton,Easton,E1,,,,,,,,,IDekhz1zyqff4l,,,,0,,,empty
PC,Pick up car,ACL,0395,GB,40,Empty,Generic,City,OB-Easton,Easton,E1,,,,,,,,,IDunwg4ffl8d4l,,,,0,,,empty
PC,Pick up car,TELX,2341,TM,40,Empty,Generic,City,OB-Easton,Easton,E1,,,,,,,,,IDi3q9ju20qg28,,,,0,,,empty
PC,Pick up car,ER,2343,XM,40,Empty,Generic,City,OB-Easton,Easton,E1,,,,,,,,,IDphk5zzia5vzn,,,,0,,,empty
PC,Pick up car,DL&W,7085,XM,40,Empty,Generic,City,OB-Easton,Easton,E1,,,,,,,,,IDk3ugw27r2fmu,,,,0,,,empty
PC,Pick up car,WJ&S,8346,XM,40,Empty,Generic,City,OB-Easton,Easton,E1,,,,,,,,,IDbkg0a41uz6ni,,,,0,,,empty
PC,Pick up car,P&R,7622,XM,40,Empty,Generic,City,OB-Easton,Easton,E1,,,,,,,,,IDjmm5dvoh8ibr,,,,0,,,empty
PC,Pick up car,CS,1705,GB,40,Empty,Generic,City,OB-Easton,Easton,E1,,,,,,,,,IDthnbnnt2bx6p,,,,0,,,empty
PC,Pick up car,WJ&S,4790,FM,40,Empty,Generic,City,OB-Easton,Easton,E1,,,,,,,,,IDccmqqkoyqlkv,,,,0,,,empty
PC,Pick up car,PRR,1215,XM,40,Empty,Generic,City,OB-Easton,Easton,E1,,,,,,,,,IDkefdw8008p8f,,,,0,,,empty
PC,Pick up car,NYC,4619,XM,40,Empty,Generic,City,OB-Easton,Easton,E1,,,,,,,,,IDqo2ynhj3pd4m,,,,0,,,empty
PC,Pick up car,CS,3014,XM,40,Empty,Generic,City,OB-Easton,Easton,E1,,,,,,,,,IDd8s2jzzs25z8,,,,0,,,empty
PC,Pick up car,PRR,1896,TM,40,Empty,Generic,City,OB-Easton,Easton,E1,,,,,,,,,IDco07gnx4qqt5,,,,0,,,empty
PC,Pick up car,B&O,1529,XM,40,Empty,Generic,City,OB-Easton,Easton,E1,,,,,,,,,IDdjqq7t37zvb3,,,,0,,,empty
PC,Pick up car,UTLX,9649,TM,40,Empty,Generic,City,OB-Easton,Easton,E1,,,,,,,,,ID10n2uqk18mgx,,,,0,,,empty
