Doodle 18g
 
Manifest for train (68Y) Build Northton Hauler
Valid 11/03/1938 14:27
 
Scheduled work at City, departure time 13:05
 [ ] Move PGCC 5648 HK empty Empty -> 
 [ ] Move B&O 0263 HK empty Empty -> 
 [ ] Move ER 3741 XM empty Empty -> Northton
 [ ] Move WJ&S 6707 XM empty Empty -> Northton
 [ ] Move CNJ 9642 XM empty Empty -> Northton
 [ ] Move CS 9474 XM empty Empty -> Northton
 [ ] Move NYC 9231 XM empty Empty -> Northton
 [ ] Move B&A 0591 XM empty Empty -> Northton
 [ ] Move TCX 0510 TM empty Empty -> Northton
 [ ] Move PRR 6262 GB empty Empty -> Northton
 [ ] Move PRR 7333 GB empty Empty -> Northton
 [ ] Move M&P 5577 XM empty Empty -> Northton
 [ ] Move UTLX 1758 TM empty Empty -> Northton
 [ ] Move B&O 5953 HK empty Empty -> Northton
 [ ] Move M&P 1712 XM empty Empty -> Northton
 [ ] Move ACL 8139 XM empty Empty -> Northton
 [ ] Move PGCC 0575 HK empty Empty -> Northton
 [ ] Move B&O 5501 HK empty Empty -> Northton
 [ ] Move UTLX 7837 TM empty Empty -> Northton
 [ ] Move B&O 3502 HK empty Empty -> Northton
 [ ] Move PRR 7291 XM empty Empty -> Northton
 [ ] Move TCX 1116 TM empty Empty -> Northton
 [ ] Move B&A 5607 GB empty Empty -> Northton
 [ ] Move PRR 4478 GB empty Empty -> Northton
 [ ] Move PRR 0618 XM empty Empty -> Northton
 [ ] Move TCX 2904 TM empty Empty -> Northton
 [ ] Move CS 1725 XM empty Empty -> Northton
 [ ] Move ACL 3944 XM empty Empty -> Northton
 [ ] Move WJ&S 3080 XM empty Empty -> Northton
 [ ] Move P&R 7172 XM empty Empty -> Northton
Train terminates in City
