Doodle 18g
 
Manifest for train (98Y) Build Easton Hauler
Valid 7/20/1938 21:49
 
Scheduled work at City, departure time 13:10
 [ ] Pick up ACL 0395 GB empty Empty destination Train Service
 [ ] Pick up NYNH&H 8380 GB empty Empty destination Train Service
 [ ] Pick up WJ&S 6707 XM empty Empty destination Train Service
 [ ] Pick up CNJ 9642 XM empty Empty destination Train Service
 [ ] Pick up CS 9474 XM empty Empty destination Train Service
 [ ] Pick up NYC 9231 XM empty Empty destination Train Service
 [ ] Pick up B&A 0591 XM empty Empty destination Train Service
 [ ] Pick up ER 3741 XM empty Empty destination Train Service
 [ ] Pick up ACL 1418 GB empty Empty destination Train Service
 [ ] Pick up PRR 4766 XM empty Empty destination Train Service
 [ ] Pick up PRR 2598 XM empty Empty destination Train Service
 [ ] Pick up PRR 7541 GB empty Empty destination Train Service
 [ ] Pick up M&P 1712 XM empty Empty destination Train Service
 [ ] Pick up ACL 8139 XM empty Empty destination Train Service
 [ ] Pick up M&P 3300 GB empty Empty destination Train Service
 [ ] Pick up NYC 3866 XM empty Empty destination Train Service
 [ ] Pick up PRR 4478 GB empty Empty destination Train Service
 [ ] Pick up PRR 0618 XM empty Empty destination Train Service
 [ ] Pick up TCX 2904 TM empty Empty destination Train Service
 [ ] Pick up CS 1725 XM empty Empty destination Train Service
 [ ] Pick up ACL 3944 XM empty Empty destination Train Service
 [ ] Pick up M&P 2664 XM empty Empty destination Train Service
 [ ] Pick up M&P 8641 XM empty Empty destination Train Service
 [ ] Pick up PRR 4752 XM empty Empty destination Train Service
 [ ] Pick up TELX 8228 TM empty Empty destination Train Service
 [ ] Pick up TELX 4330 TM empty Empty destination Train Service
 [ ] Pick up NYNH&H 3502 XM empty Empty destination Train Service
 [ ] Pick up PRR 7482 TM empty Empty destination Train Service
 [ ] Pick up CNJ 5227 XM empty Empty destination Train Service
 [ ] Pick up P&R 7172 XM empty Empty destination Train Service
Train departs City Eastbound with 30 cars, 1,320 feet, 0 tons
 
Scheduled work at Train Service, arrival time 13:14
 [ ] Set out ACL 0395 GB empty Empty to OB-Easton
 [ ] Set out NYNH&H 8380 GB empty Empty to OB-Easton
 [ ] Set out WJ&S 6707 XM empty Empty to OB-Easton
 [ ] Set out CNJ 9642 XM empty Empty to OB-Easton
 [ ] Set out CS 9474 XM empty Empty to OB-Easton
 [ ] Set out NYC 9231 XM empty Empty to OB-Easton
 [ ] Set out B&A 0591 XM empty Empty to OB-Easton
 [ ] Set out ER 3741 XM empty Empty to OB-Easton
 [ ] Set out ACL 1418 GB empty Empty to OB-Easton
 [ ] Set out PRR 4766 XM empty Empty to OB-Easton
 [ ] Set out PRR 2598 XM empty Empty to OB-Easton
 [ ] Set out PRR 7541 GB empty Empty to OB-Easton
 [ ] Set out M&P 1712 XM empty Empty to OB-Easton
 [ ] Set out ACL 8139 XM empty Empty to OB-Easton
 [ ] Set out M&P 3300 GB empty Empty to OB-Easton
 [ ] Set out NYC 3866 XM empty Empty to OB-Easton
 [ ] Set out PRR 4478 GB empty Empty to OB-Easton
 [ ] Set out PRR 0618 XM empty Empty to OB-Easton
 [ ] Set out TCX 2904 TM empty Empty to OB-Easton
 [ ] Set out CS 1725 XM empty Empty to OB-Easton
 [ ] Set out ACL 3944 XM empty Empty to OB-Easton
 [ ] Set out M&P 2664 XM empty Empty to OB-Easton
 [ ] Set out M&P 8641 XM empty Empty to OB-Easton
 [ ] Set out PRR 4752 XM empty Empty to OB-Easton
 [ ] Set out TELX 8228 TM empty Empty to OB-Easton
 [ ] Set out TELX 4330 TM empty Empty to OB-Easton
 [ ] Set out NYNH&H 3502 XM empty Empty to OB-Easton
 [ ] Set out PRR 7482 TM empty Empty to OB-Easton
 [ ] Set out CNJ 5227 XM empty Empty to OB-Easton
 [ ] Set out P&R 7172 XM empty Empty to OB-Easton
Train terminates in Train Service
