

Switch List for location: City Weston Division
Valid 12/16/2023 10:46

List of inventory at Hold 2
Engines:
 None
Cars:
 [ ] Move PRR   4478 GB  L Milled timbe City-71                     Park-Lumber             
 [ ] Move PRR   0618 XM  L Merchandise  City-71                     Park-General Delivery   
 [ ] Move TCX   2904 TM  L fuel         City-71                     Park-Fuel Oil           
 [ ] Move P&R   7172 XM  L Merchandise  City-71                     Park-General Delivery   
 [ ] Move ACL   8139 XM  L Merchandise  City-71                     Downtown-General Delive 
 [ ] Move PGCC  0575 HK  L coal2        City-71                     Downtown-Coal           
 [ ] Move M&P   1712 XM  L Merchandise  City-71                     Park-General Delivery   
 [ ] Move B&O   5953 HK  L coal2        City-71                     Park-Coal               
 [ ] Move CS    1725 XM  L Merchandise  City-71                     Downtown-General Delive 
 [ ] Move B&O   0263 HK  L coal2        City-71                     Junction-Coal           
 [ ] Move B&A   0591 XM  L Merchandise  City-71                     Park-General Delivery   
 [ ] Move NYC   9231 XM  L Merchandise  City-71                     Downtown-General Delive 
 [ ] Move CS    9474 XM  L LCL          City-71                     Park-Depot              
 [ ] Move CNJ   9642 XM  L LCL          City-71                     Park-Depot              
 [ ] Move WJ&S  6707 XM  L LCL          City-71                     Park-Depot              

